335,335,,,70,733,78,224.00,59.62,44.64,7870,469216.00
482,482,,,78,712,78,249.00,77.92,60.88,3014,234855.00
498,498,,,79,502,78,202.00,53.33,41.32,4357,232378.00
610,610,,,90,1271,78,233.00,91.94,58.52,2286,210164.00
624,624,,,91,1113,78,134.00,41.84,23.44,4749,198714.00
123,123,,,53,673,79,191.00,51.09,37.31,4539,231888.00
469,469,,,79,1361,79,243.00,85.30,51.57,2705,230728.00
499,499,,,80,1241,79,200.00,92.78,44.49,2307,214054.00
628,628,,,91,1244,79,223.00,77.42,51.68,2851,220719.00
100,100,,,49,780,80,194.00,52.48,42.06,3443,180704.00
211,211,,,60,361,80,236.00,81.78,55.29,3266,267088.00
265,265,,,63,924,80,69.00,25.77,11.12,6209,160017.00
557,557,,,85,1413,80,208.00,76.38,48.00,2824,215687.00
586,586,,,88,1140,80,249.00,75.11,58.10,2922,219461.00
221,221,,,59,696,81,181.00,59.92,38.51,3583,214694.00
234,234,,,58,1253,81,194.00,93.63,40.92,2133,199720.00
339,339,,,68,374,81,251.00,75.16,55.17,3344,251322.00
574,574,,,88,1159,81,235.00,70.58,50.17,3121,220289.00
122,122,,,51,1315,82,183.00,65.08,36.88,2049,133342.00
146,146,,,52,1326,82,163.00,78.17,35.72,2111,165026.00
281,281,,,69,1095,82,195.00,61.48,45.18,3242,199326.00
524,524,,,84,919,82,159.00,43.55,30.47,4791,208627.00
611,611,,,90,1176,82,239.00,91.10,60.71,2242,204246.00
220,220,,,59,1116,83,210.00,68.00,46.34,3360,228480.00
394,394,,,71,750,83,187.00,58.61,41.99,3861,226308.00
395,395,,,74,1058,83,97.00,35.31,17.51,5350,188901.00
562,562,,,85,1307,83,212.00,67.45,44.24,2946,198720.00
93,93,,,50,1410,84,196.00,70.13,41.41,2847,199657.00
192,192,,,57,1007,84,80.00,26.81,12.10,6051,162223.00
306,306,,,66,1157,84,201.00,77.59,43.87,2791,216558.00
484,484,,,79,1203,84,217.00,96.07,49.18,2346,225384.00
556,556,,,84,1345,84,234.00,87.04,48.39,2216,192872.00
85,85,,,48,1062,85,135.00,39.24,24.01,5580,218959.00
113,113,,,50,818,85,157.00,46.73,33.91,4657,217622.00
169,169,,,55,752,85,186.00,51.03,38.52,4382,223594.00
352,352,,,66,320,85,215.00,64.84,46.38,3688,239120.00
398,398,,,72,703,85,214.00,64.10,45.45,3711,237892.00
526,526,,,83,877,85,199.00,54.66,41.75,3877,211909.00
124,124,,,52,1343,86,194.00,65.49,37.94,2663,174405.00
236,236,,,63,1104,86,224.00,74.37,50.28,3180,236493.00
322,322,,,64,1551,86,160.00,46.43,32.28,2958,137349.00
483,483,,,79,635,86,195.00,55.55,44.40,4198,233184.00
485,485,,,79,1178,86,223.00,97.74,49.55,2401,234665.00
254,254,,,61,477,87,228.00,62.32,51.36,4260,265479.00
